transaction_id,user_id,product_id,channel,quantity,amount,discount,transaction_date
839239f8-9155-4adb-8b42-2815a484c7e2,0405e266-5a01-46aa-8949-ead219b74ace,2341a1b6-ca76-4973-ad2e-4a906f9fd51d,mobile,2,235.2,3.6,2025-06-16T13:51:20.948621
cf6f5b3a-c916-4305-8fd5-466d3add8d35,00e32ae3-176f-46d2-894c-5504a1bdace4,17c1c99f-c424-420e-8868-5ab21bafe8e5,mobile,1,142.26,4.19,2025-08-22T13:51:20.948681
538fcfda-d5fb-4e7e-929b-90441e2a2ee7,4ec84b5f-b09d-47ae-b377-aa007382cd8e,a0de6626-305c-473f-946f-bec5e72fa2b2,mobile,1,367.56,9.99,2025-09-18T13:51:20.948720
874eb949-2515-4cd2-8f80-9fcf47ca0a45,4829a140-3157-48b9-87d5-344eb58b6325,053f89ae-21b6-4267-baf4-f4be573d366f,mobile,2,142.3,3.08,2025-12-07T13:51:20.948750
7a8a5536-67f0-494e-9d2c-1094eec6d634,48fb6021-8054-4fbb-8b47-87326c61c00b,1308f602-c166-4cdc-868a-0b4938053d4d,mobile,1,32.44,9.58,2025-08-29T13:51:20.948764
f8faabea-9526-4fb4-b83d-217d4e8e5cd7,03cd349e-dd04-4d46-a08f-6b40026ac251,168e2ef5-ab86-444e-ad38-6cbe82465e6a,store,5,450.3,10.87,2025-04-26T13:51:20.948778
527df052-530e-45da-829a-15f11818f780,3226488b-4d5b-4e5c-b1a2-eb3197174b97,321b80eb-c6e9-42e0-a6f5-86598247acd3,mobile,5,1464.45,18.29,2025-06-15T13:51:20.948793
0da070cf-6f37-4223-aaf3-f40e700f1dda,a2db16fd-ba72-4f0b-9305-a8b470f9b0fa,bff07f43-24a8-4d20-b9e9-6cac1ecce307,mobile,3,180.21,12.25,2026-01-20T13:51:20.948807
3725a647-0aa3-41c6-967d-ce360d962f8a,439867bf-aa4f-4697-aaf1-3b9e12b22379,f6df0b45-6106-42d3-8c75-195d0ad4baee,web,3,1166.37,0.21,2025-09-07T13:51:20.948821
3e529040-2364-4d4c-a843-15ceb4f789b3,400b741d-0ca0-45d6-8523-573617fee653,6eae25b5-bfd1-445a-b0d8-86e5ef9604a3,mobile,5,2395.1,11.61,2025-07-24T13:51:20.948834
f0d061e8-ba09-48ed-a61a-215b27d241f9,045d4675-4ee0-49ec-a9b1-1d1db855e831,6eae25b5-bfd1-445a-b0d8-86e5ef9604a3,store,4,1916.08,9.26,2025-10-06T13:51:20.948848
a9ba1da5-35ca-47e3-8b6c-7fccd66b9e52,1a02c0cc-fc75-4896-95e3-13aa5ba34d35,bdea1b76-1208-4a2f-b2e1-1aa8a5626500,web,2,616.92,9.66,2025-10-21T13:51:20.948861
0cb27e97-6a0b-4bef-a2e9-d78eba9c809a,b237f9d5-60b3-45de-bbeb-f64d46377e62,e68cd9b3-0f66-4719-b9c8-10a5e0acfc32,mobile,1,429.1,2.83,2026-02-15T13:51:20.948877
