user_id,liked_categories,interests,followers,platform
57e6db98-be89-47c5-87f3-a3ff20643236,Grocery,"music,wellness,fashion",1519,instagram
5bf4583e-b845-45d7-884b-2881ba288b9d,"Electronics,Sports",music,1155,instagram
e28f4770-6966-405d-a263-775367525a66,"Electronics,Books",tech,5502,facebook
ba0f0624-b1c9-4f49-9041-fd7c7b1028a5,Electronics,"travel,gaming,fitness",4952,facebook
00824cc7-caaa-457e-9328-c8b8556afc23,"Apparel,Sports","fitness,fashion,music",6392,instagram
82c6b92a-eacb-45ed-b8c3-430b0d490459,"Apparel,Books","gaming,fitness,travel,tech",7277,instagram
964b7af0-f945-4a93-a040-a1f71aed720f,"Apparel,Grocery,Books,Health",fitness,1576,instagram
8040cbdd-63a5-4643-98aa-2a7670be6024,"Health,Books,Sports",travel,739,instagram
cfe0b1a7-cd03-4d1e-93b0-3bbdd16f6a23,"Grocery,Footwear","fitness,travel,cooking",5836,instagram
89d1cd9f-53a3-4cb9-8d4c-783ca398d230,"Sports,Books","cooking,fitness,travel,tech",7331,twitter
9d57b2f2-8959-4ba6-a225-7aae14a7ca35,"Apparel,Sports,Health","gaming,fitness,cooking",5897,twitter
04ecb97a-42da-4546-96ee-d1ae2e3400b2,"Grocery,Health,Books,Footwear","fitness,music",8686,facebook
4bc1996f-9825-4f06-85da-2b0db239e855,"Grocery,Footwear,Health,Books","gaming,fashion",7126,facebook
52b779bf-b219-4f6a-bf6d-facce6fa6900,"Grocery,Footwear",tech,4783,twitter
fd6dddea-61e9-40b1-9ccc-6fa3d1499f25,Books,"music,fashion,travel,tech",5422,instagram
e4452209-799a-467e-91ee-0fec8aec1d5b,"Health,Sports,Footwear,Grocery","cooking,music",5605,instagram
a91646c9-5f67-4156-b4d0-21a050b6575c,"Electronics,Apparel","fitness,cooking",2252,instagram
b5e852ab-dc42-45d2-80ed-061b15e85082,"Footwear,Health","fashion,fitness,wellness,gaming",8419,instagram
c7a05006-af72-4fe4-af69-4916237acd03,"Apparel,Books","tech,cooking",2027,instagram
6b9384d5-4658-499e-aa0e-261e25506abf,"Health,Footwear",fashion,5592,instagram
c0f89555-5fe2-4ced-8b60-e35e96e39987,Electronics,"fashion,fitness,gaming,wellness",9007,facebook
755b4c50-4d17-4e79-8c2a-5d83b8972610,"Apparel,Books,Health",music,1713,instagram
9a58294d-b1d7-464a-a310-45a0eccb0b17,"Books,Apparel,Sports,Grocery",music,5582,twitter
952d7f9c-eec2-4cfe-9a22-d67b2438dd4f,Electronics,"wellness,music,fitness",5441,instagram
6951a992-1ef4-4e7f-af9b-4a2989cadc35,"Apparel,Sports,Footwear",fashion,3312,instagram
de68630e-da9e-45bb-9038-1aeb89f735f1,"Electronics,Apparel","fashion,travel",3047,instagram
6b1fe901-5849-41af-9f5a-20e3dd30b27e,"Footwear,Electronics",gaming,1817,twitter
dfd52764-d937-4a04-bde4-5a02eae154af,"Grocery,Health","music,cooking,tech",9654,facebook
740901b0-ea82-459c-b9c4-ebb6e59f3b9c,Grocery,"fashion,music,tech,gaming",3711,facebook
6fe8c4f8-6f02-4706-b398-6c3d0653b820,"Grocery,Health,Electronics","tech,fitness,gaming",8046,twitter
48939967-06c2-444f-bd14-4f7a500ae2cb,"Electronics,Health",cooking,8461,facebook
b1eda297-b5e3-4a00-a11a-293f57da976d,"Books,Sports","music,fitness,cooking",3744,instagram
